,keyword,province,type,date,index
320,咳嗽,911,pc,2022-12-01,89
321,咳嗽,911,pc,2022-12-02,99
322,咳嗽,911,pc,2022-12-03,72
323,咳嗽,911,pc,2022-12-04,63
324,咳嗽,911,pc,2022-12-05,120
325,咳嗽,911,pc,2022-12-06,110
326,咳嗽,911,pc,2022-12-07,157
327,咳嗽,911,pc,2022-12-08,183
328,咳嗽,911,pc,2022-12-09,204
329,咳嗽,911,pc,2022-12-10,150
330,咳嗽,911,pc,2022-12-11,159
331,咳嗽,911,pc,2022-12-12,321
332,咳嗽,911,pc,2022-12-13,312
333,咳嗽,911,pc,2022-12-14,371
334,咳嗽,911,pc,2022-12-15,340
335,咳嗽,911,pc,2022-12-16,336
336,咳嗽,911,pc,2022-12-17,186
337,咳嗽,911,pc,2022-12-18,204
338,咳嗽,911,pc,2022-12-19,422
339,咳嗽,911,pc,2022-12-20,411
340,咳嗽,911,pc,2022-12-21,428
341,咳嗽,911,pc,2022-12-22,364
342,咳嗽,911,pc,2022-12-23,364
343,咳嗽,911,pc,2022-12-24,193
344,咳嗽,911,pc,2022-12-25,184
345,咳嗽,911,pc,2022-12-26,406
346,咳嗽,911,pc,2022-12-27,341
347,咳嗽,911,pc,2022-12-28,366
348,咳嗽,911,pc,2022-12-29,271
349,咳嗽,911,pc,2022-12-30,233
350,咳嗽,911,pc,2022-12-31,120
351,咳嗽,911,pc,2023-01-01,135
352,咳嗽,911,wise,2022-12-01,316
353,咳嗽,911,wise,2022-12-02,300
354,咳嗽,911,wise,2022-12-03,340
355,咳嗽,911,wise,2022-12-04,319
356,咳嗽,911,wise,2022-12-05,475
357,咳嗽,911,wise,2022-12-06,536
358,咳嗽,911,wise,2022-12-07,599
359,咳嗽,911,wise,2022-12-08,766
360,咳嗽,911,wise,2022-12-09,873
361,咳嗽,911,wise,2022-12-10,899
362,咳嗽,911,wise,2022-12-11,961
363,咳嗽,911,wise,2022-12-12,1150
364,咳嗽,911,wise,2022-12-13,1269
365,咳嗽,911,wise,2022-12-14,1428
366,咳嗽,911,wise,2022-12-15,1497
367,咳嗽,911,wise,2022-12-16,1463
368,咳嗽,911,wise,2022-12-17,1360
369,咳嗽,911,wise,2022-12-18,1323
370,咳嗽,911,wise,2022-12-19,1280
371,咳嗽,911,wise,2022-12-20,1261
372,咳嗽,911,wise,2022-12-21,1200
373,咳嗽,911,wise,2022-12-22,1010
374,咳嗽,911,wise,2022-12-23,967
375,咳嗽,911,wise,2022-12-24,939
376,咳嗽,911,wise,2022-12-25,929
377,咳嗽,911,wise,2022-12-26,950
